# PURPOSE: This file distributes the Kp index and ap index (one line per three-hour interval)
# LICENSE: CC BY 4.0
# SOURCE: Geomagnetic Observatory Niemegk, GFZ German Research Centre for Geosciences
# PLEASE CITE: Matzka, J., Stolle, C., Yamazaki, Y., Bronkalla, O. and Morschhauser, A., 2021. The geomagnetic Kp index 
# and derived indices of geomagnetic activity. Space Weather, https://doi.org/10.1029/2020SW002641
#
# Kp, ap and Ap
# The three-hourly equivalent planetary amplitude ap is derived from Kp and the daily equivalent planetary amplitude Ap is the daily mean of ap.
# Kp is unitless. Ap and ap are unitless and can be multiplied by 2 nT to yield the average geomagnetic disturbance at 50 degree geomagnetic latitude.
# Kp, ap and Ap were introduced by Bartels (1949, 1957) and are produced by Geomagnetic Observatory Niemegk, GFZ German Research Centre for Geosciences.
# Described in: Matzka et al. (2021), see reference above.
# Data publication: Matzka, J., Bronkalla, O., Tornow, K., Elger, K. and Stolle, C., 2021. Geomagnetic Kp index. V. 1.0. GFZ Data Services, 
# https://doi.org/10.5880/Kp.0001
#
# Short file description (for a detailed file description, see Kp_ap_Ap_SN_F107_format.txt):
# 30 header lines, all starting with #
# ASCII, blank separated and fixed length, missing data indicated by -1.000 for Kp and -1 for ap
# YYYY MM DD is date of UT day, hh.h is starting time in hours of interval for which Kp and ap are given
# hh._m is mid time in hours of interval for which Kp and ap are given 
# days is days since 1932-01-01 00:00 UT to start of interval, days_m is days since 1932-01-01 00:00 UT to mid of interval
# Kp, ap
# D indicates if the Kp and ap values are definitive (D = 1) or preliminary (D=0)
#
#
#
#
# The format for each line is (i stands for integer, f for float):
#iii ii ii ff.f ff.ff fffff.fffff fffff.fffff ff.fff iiii i
# The parameters in each line are:
#YYY MM DD hh.h hh._m        days      days_m     Kp   ap D
1940 05 10 18.0 19.50  3052.75000  3052.81250  3.667   22 1
1940 05 10 21.0 22.50  3052.87500  3052.93750  3.667   22 1
1940 05 11 00.0 01.50  3053.00000  3053.06250  3.667   22 1
1940 05 11 03.0 04.50  3053.12500  3053.18750  3.667   22 1
1940 05 11 06.0 07.50  3053.25000  3053.31250  3.000   15 1
1940 05 11 09.0 10.50  3053.37500  3053.43750  2.000    7 1
1940 05 11 12.0 13.50  3053.50000  3053.56250  2.667   12 1
1940 05 11 15.0 16.50  3053.62500  3053.68750  2.000    7 1
1940 05 11 18.0 19.50  3053.75000  3053.81250  3.000   15 1
1940 05 11 21.0 22.50  3053.87500  3053.93750  2.000    7 1
1940 05 12 00.0 01.50  3054.00000  3054.06250  3.000   15 1
1940 05 12 03.0 04.50  3054.12500  3054.18750  3.667   22 1
1940 05 12 06.0 07.50  3054.25000  3054.31250  4.000   27 1
1940 05 12 09.0 10.50  3054.37500  3054.43750  2.333    9 1
1940 05 12 12.0 13.50  3054.50000  3054.56250  2.667   12 1
1940 05 12 15.0 16.50  3054.62500  3054.68750  2.667   12 1
1940 05 12 18.0 19.50  3054.75000  3054.81250  2.667   12 1
1940 05 12 21.0 22.50  3054.87500  3054.93750  3.667   22 1
1940 05 13 00.0 01.50  3055.00000  3055.06250  3.000   15 1
1940 05 13 03.0 04.50  3055.12500  3055.18750  2.333    9 1
1940 05 13 06.0 07.50  3055.25000  3055.31250  1.667    6 1
1940 05 13 09.0 10.50  3055.37500  3055.43750  1.667    6 1
1940 05 13 12.0 13.50  3055.50000  3055.56250  2.333    9 1
1940 05 13 15.0 16.50  3055.62500  3055.68750  2.333    9 1
1940 05 13 18.0 19.50  3055.75000  3055.81250  3.667   22 1
1940 05 13 21.0 22.50  3055.87500  3055.93750  2.667   12 1
1940 05 14 00.0 01.50  3056.00000  3056.06250  3.000   15 1
1940 05 14 03.0 04.50  3056.12500  3056.18750  3.333   18 1
1940 05 14 06.0 07.50  3056.25000  3056.31250  3.333   18 1
1940 05 14 09.0 10.50  3056.37500  3056.43750  2.333    9 1
1940 05 14 12.0 13.50  3056.50000  3056.56250  2.667   12 1
1940 05 14 15.0 16.50  3056.62500  3056.68750  2.667   12 1
1940 05 14 18.0 19.50  3056.75000  3056.81250  2.333    9 1
1940 05 14 21.0 22.50  3056.87500  3056.93750  2.000    7 1
1940 05 15 00.0 01.50  3057.00000  3057.06250  1.667    6 1
1940 05 15 03.0 04.50  3057.12500  3057.18750  3.333   18 1
1940 05 15 06.0 07.50  3057.25000  3057.31250  2.667   12 1
1940 05 15 09.0 10.50  3057.37500  3057.43750  2.333    9 1
1940 05 15 12.0 13.50  3057.50000  3057.56250  2.667   12 1
1940 05 15 15.0 16.50  3057.62500  3057.68750  3.333   18 1
1940 05 15 18.0 19.50  3057.75000  3057.81250  3.667   22 1
1940 05 15 21.0 22.50  3057.87500  3057.93750  3.333   18 1
1940 05 16 00.0 01.50  3058.00000  3058.06250  3.333   18 1
1940 05 16 03.0 04.50  3058.12500  3058.18750  0.667    3 1
1940 05 16 06.0 07.50  3058.25000  3058.31250  0.000    0 1
1940 05 16 09.0 10.50  3058.37500  3058.43750  0.667    3 1
1940 05 16 12.0 13.50  3058.50000  3058.56250  1.000    4 1
1940 05 16 15.0 16.50  3058.62500  3058.68750  1.000    4 1
1940 05 16 18.0 19.50  3058.75000  3058.81250  1.333    5 1
1940 05 16 21.0 22.50  3058.87500  3058.93750  1.333    5 1
1940 05 17 00.0 01.50  3059.00000  3059.06250  2.000    7 1
1940 05 17 03.0 04.50  3059.12500  3059.18750  2.333    9 1
1940 05 17 06.0 07.50  3059.25000  3059.31250  2.000    7 1
1940 05 17 09.0 10.50  3059.37500  3059.43750  2.667   12 1
1940 05 17 12.0 13.50  3059.50000  3059.56250  1.667    6 1
1940 05 17 15.0 16.50  3059.62500  3059.68750  2.333    9 1
1940 05 17 18.0 19.50  3059.75000  3059.81250  3.333   18 1
1940 05 17 21.0 22.50  3059.87500  3059.93750  2.333    9 1
1940 05 18 00.0 01.50  3060.00000  3060.06250  4.000   27 1
1940 05 18 03.0 04.50  3060.12500  3060.18750  4.667   39 1
1940 05 18 06.0 07.50  3060.25000  3060.31250  5.667   67 1
1940 05 18 09.0 10.50  3060.37500  3060.43750  4.667   39 1
1940 05 18 12.0 13.50  3060.50000  3060.56250  5.667   67 1
1940 05 18 15.0 16.50  3060.62500  3060.68750  3.000   15 1
1940 05 18 18.0 19.50  3060.75000  3060.81250  2.667   12 1
1940 05 18 21.0 22.50  3060.87500  3060.93750  2.000    7 1
1940 05 19 00.0 01.50  3061.00000  3061.06250  3.333   18 1
1940 05 19 03.0 04.50  3061.12500  3061.18750  1.667    6 1
1940 05 19 06.0 07.50  3061.25000  3061.31250  2.333    9 1
1940 05 19 09.0 10.50  3061.37500  3061.43750  2.333    9 1
1940 05 19 12.0 13.50  3061.50000  3061.56250  1.000    4 1
1940 05 19 15.0 16.50  3061.62500  3061.68750  2.333    9 1
1940 05 19 18.0 19.50  3061.75000  3061.81250  1.667    6 1
1940 05 19 21.0 22.50  3061.87500  3061.93750  3.000   15 1
1940 05 20 00.0 01.50  3062.00000  3062.06250  2.000    7 1
1940 05 20 03.0 04.50  3062.12500  3062.18750  2.333    9 1
1940 05 20 06.0 07.50  3062.25000  3062.31250  1.333    5 1
1940 05 20 09.0 10.50  3062.37500  3062.43750  1.333    5 1
1940 05 20 12.0 13.50  3062.50000  3062.56250  3.333   18 1
1940 05 20 15.0 16.50  3062.62500  3062.68750  3.667   22 1
1940 05 20 18.0 19.50  3062.75000  3062.81250  2.333    9 1
1940 05 20 21.0 22.50  3062.87500  3062.93750  0.333    2 1
1940 05 21 00.0 01.50  3063.00000  3063.06250  1.333    5 1
1940 05 21 03.0 04.50  3063.12500  3063.18750  4.333   32 1
1940 05 21 06.0 07.50  3063.25000  3063.31250  1.000    4 1
1940 05 21 09.0 10.50  3063.37500  3063.43750  0.333    2 1
1940 05 21 12.0 13.50  3063.50000  3063.56250  0.333    2 1
1940 05 21 15.0 16.50  3063.62500  3063.68750  1.000    4 1
1940 05 21 18.0 19.50  3063.75000  3063.81250  2.000    7 1
1940 05 21 21.0 22.50  3063.87500  3063.93750  2.000    7 1
1940 05 22 00.0 01.50  3064.00000  3064.06250  4.333   32 1
1940 05 22 03.0 04.50  3064.12500  3064.18750  5.667   67 1
1940 05 22 06.0 07.50  3064.25000  3064.31250  5.667   67 1
1940 05 22 09.0 10.50  3064.37500  3064.43750  4.667   39 1
1940 05 22 12.0 13.50  3064.50000  3064.56250  3.000   15 1
1940 05 22 15.0 16.50  3064.62500  3064.68750  2.667   12 1
1940 05 22 18.0 19.50  3064.75000  3064.81250  2.333    9 1
1940 05 22 21.0 22.50  3064.87500  3064.93750  1.667    6 1
1940 05 23 00.0 01.50  3065.00000  3065.06250  1.667    6 1
1940 05 23 03.0 04.50  3065.12500  3065.18750  2.333    9 1
1940 05 23 06.0 07.50  3065.25000  3065.31250  1.667    6 1
1940 05 23 09.0 10.50  3065.37500  3065.43750  1.667    6 1
1940 05 23 12.0 13.50  3065.50000  3065.56250  0.667    3 1
1940 05 23 15.0 16.50  3065.62500  3065.68750  5.000   48 1
1940 05 23 18.0 19.50  3065.75000  3065.81250  5.333   56 1
1940 05 23 21.0 22.50  3065.87500  3065.93750  2.667   12 1
1940 05 24 00.0 01.50  3066.00000  3066.06250  3.000   15 1
1940 05 24 03.0 04.50  3066.12500  3066.18750  7.000  132 1
1940 05 24 06.0 07.50  3066.25000  3066.31250  5.667   67 1
1940 05 24 09.0 10.50  3066.37500  3066.43750  7.667  179 1
1940 05 24 12.0 13.50  3066.50000  3066.56250  6.333   94 1
1940 05 24 15.0 16.50  3066.62500  3066.68750  4.667   39 1
1940 05 24 18.0 19.50  3066.75000  3066.81250  5.667   67 1
1940 05 24 21.0 22.50  3066.87500  3066.93750  4.333   32 1
1940 05 25 00.0 01.50  3067.00000  3067.06250  4.000   27 1
1940 05 25 03.0 04.50  3067.12500  3067.18750  3.000   15 1
1940 05 25 06.0 07.50  3067.25000  3067.31250  1.000    4 1
1940 05 25 09.0 10.50  3067.37500  3067.43750  0.667    3 1
1940 05 25 12.0 13.50  3067.50000  3067.56250  1.333    5 1
1940 05 25 15.0 16.50  3067.62500  3067.68750  3.333   18 1
1940 05 25 18.0 19.50  3067.75000  3067.81250  3.000   15 1
1940 05 25 21.0 22.50  3067.87500  3067.93750  2.333    9 1
1940 05 26 00.0 01.50  3068.00000  3068.06250  2.667   12 1
1940 05 26 03.0 04.50  3068.12500  3068.18750  4.000   27 1
1940 05 26 06.0 07.50  3068.25000  3068.31250  3.333   18 1
1940 05 26 09.0 10.50  3068.37500  3068.43750  2.667   12 1
1940 05 26 12.0 13.50  3068.50000  3068.56250  2.333    9 1
1940 05 26 15.0 16.50  3068.62500  3068.68750  4.000   27 1
1940 05 26 18.0 19.50  3068.75000  3068.81250  4.333   32 1
1940 05 26 21.0 22.50  3068.87500  3068.93750  5.333   56 1
1940 05 27 00.0 01.50  3069.00000  3069.06250  5.667   67 1
1940 05 27 03.0 04.50  3069.12500  3069.18750  4.000   27 1
1940 05 27 06.0 07.50  3069.25000  3069.31250  2.333    9 1
1940 05 27 09.0 10.50  3069.37500  3069.43750  2.667   12 1
1940 05 27 12.0 13.50  3069.50000  3069.56250  1.333    5 1
1940 05 27 15.0 16.50  3069.62500  3069.68750  2.333    9 1
1940 05 27 18.0 19.50  3069.75000  3069.81250  2.667   12 1
1940 05 27 21.0 22.50  3069.87500  3069.93750  4.000   27 1
1940 05 28 00.0 01.50  3070.00000  3070.06250  2.667   12 1
1940 05 28 03.0 04.50  3070.12500  3070.18750  4.333   32 1
1940 05 28 06.0 07.50  3070.25000  3070.31250  3.333   18 1
1940 05 28 09.0 10.50  3070.37500  3070.43750  3.333   18 1
1940 05 28 12.0 13.50  3070.50000  3070.56250  3.000   15 1
1940 05 28 15.0 16.50  3070.62500  3070.68750  2.333    9 1
1940 05 28 18.0 19.50  3070.75000  3070.81250  2.333    9 1
1940 05 28 21.0 22.50  3070.87500  3070.93750  2.333    9 1
1940 05 29 00.0 01.50  3071.00000  3071.06250  3.000   15 1
1940 05 29 03.0 04.50  3071.12500  3071.18750  2.000    7 1
1940 05 29 06.0 07.50  3071.25000  3071.31250  1.667    6 1
1940 05 29 09.0 10.50  3071.37500  3071.43750  1.333    5 1
1940 05 29 12.0 13.50  3071.50000  3071.56250  1.333    5 1
1940 05 29 15.0 16.50  3071.62500  3071.68750  2.333    9 1
1940 05 29 18.0 19.50  3071.75000  3071.81250  2.333    9 1
1940 05 29 21.0 22.50  3071.87500  3071.93750  1.333    5 1
1940 05 30 00.0 01.50  3072.00000  3072.06250  0.333    2 1
1940 05 30 03.0 04.50  3072.12500  3072.18750  0.000    0 1
1940 05 30 06.0 07.50  3072.25000  3072.31250  0.333    2 1
1940 05 30 09.0 10.50  3072.37500  3072.43750  0.667    3 1
1940 05 30 12.0 13.50  3072.50000  3072.56250  0.667    3 1
1940 05 30 15.0 16.50  3072.62500  3072.68750  0.667    3 1
1940 05 30 18.0 19.50  3072.75000  3072.81250  1.333    5 1
1940 05 30 21.0 22.50  3072.87500  3072.93750  1.667    6 1
1940 05 31 00.0 01.50  3073.00000  3073.06250  1.333    5 1
1940 05 31 03.0 04.50  3073.12500  3073.18750  0.667    3 1
1940 05 31 06.0 07.50  3073.25000  3073.31250  0.667    3 1
1940 05 31 09.0 10.50  3073.37500  3073.43750  0.333    2 1
1940 05 31 12.0 13.50  3073.50000  3073.56250  0.667    3 1
1940 05 31 15.0 16.50  3073.62500  3073.68750  0.333    2 1
1940 05 31 18.0 19.50  3073.75000  3073.81250  0.000    0 1
1940 05 31 21.0 22.50  3073.87500  3073.93750  0.333    2 1
1940 06 01 00.0 01.50  3074.00000  3074.06250  0.667    3 1
1940 06 01 03.0 04.50  3074.12500  3074.18750  0.333    2 1
1940 06 01 06.0 07.50  3074.25000  3074.31250  1.333    5 1
1940 06 01 09.0 10.50  3074.37500  3074.43750  0.667    3 1
1940 06 01 12.0 13.50  3074.50000  3074.56250  1.000    4 1
1940 06 01 15.0 16.50  3074.62500  3074.68750  0.667    3 1
1940 06 01 18.0 19.50  3074.75000  3074.81250  1.333    5 1
1940 06 01 21.0 22.50  3074.87500  3074.93750  1.667    6 1
1940 06 02 00.0 01.50  3075.00000  3075.06250  1.333    5 1
1940 06 02 03.0 04.50  3075.12500  3075.18750  2.667   12 1
1940 06 02 06.0 07.50  3075.25000  3075.31250  2.000    7 1
1940 06 02 09.0 10.50  3075.37500  3075.43750  1.000    4 1
1940 06 02 12.0 13.50  3075.50000  3075.56250  2.667   12 1
1940 06 02 15.0 16.50  3075.62500  3075.68750  2.667   12 1
1940 06 02 18.0 19.50  3075.75000  3075.81250  1.333    5 1
1940 06 02 21.0 22.50  3075.87500  3075.93750  2.000    7 1
1940 06 03 00.0 01.50  3076.00000  3076.06250  0.667    3 1
1940 06 03 03.0 04.50  3076.12500  3076.18750  0.667    3 1
1940 06 03 06.0 07.50  3076.25000  3076.31250  0.667    3 1
1940 06 03 09.0 10.50  3076.37500  3076.43750  1.000    4 1
1940 06 03 12.0 13.50  3076.50000  3076.56250  3.000   15 1
1940 06 03 15.0 16.50  3076.62500  3076.68750  2.000    7 1
1940 06 03 18.0 19.50  3076.75000  3076.81250  1.667    6 1
1940 06 03 21.0 22.50  3076.87500  3076.93750  2.000    7 1
1940 06 04 00.0 01.50  3077.00000  3077.06250  2.000    7 1
1940 06 04 03.0 04.50  3077.12500  3077.18750  0.667    3 1
1940 06 04 06.0 07.50  3077.25000  3077.31250  0.333    2 1
1940 06 04 09.0 10.50  3077.37500  3077.43750  0.333    2 1
1940 06 04 12.0 13.50  3077.50000  3077.56250  1.000    4 1
1940 06 04 15.0 16.50  3077.62500  3077.68750  0.667    3 1
1940 06 04 18.0 19.50  3077.75000  3077.81250  0.333    2 1
1940 06 04 21.0 22.50  3077.87500  3077.93750  0.667    3 1
1940 06 05 00.0 01.50  3078.00000  3078.06250  1.000    4 1
1940 06 05 03.0 04.50  3078.12500  3078.18750  1.000    4 1
1940 06 05 06.0 07.50  3078.25000  3078.31250  2.667   12 1
1940 06 05 09.0 10.50  3078.37500  3078.43750  2.000    7 1
1940 06 05 12.0 13.50  3078.50000  3078.56250  2.000    7 1
1940 06 05 15.0 16.50  3078.62500  3078.68750  1.667    6 1
1940 06 05 18.0 19.50  3078.75000  3078.81250  2.000    7 1
1940 06 05 21.0 22.50  3078.87500  3078.93750  4.000   27 1
1940 06 06 00.0 01.50  3079.00000  3079.06250  4.333   32 1
1940 06 06 03.0 04.50  3079.12500  3079.18750  5.333   56 1
1940 06 06 06.0 07.50  3079.25000  3079.31250  5.000   48 1
1940 06 06 09.0 10.50  3079.37500  3079.43750  4.667   39 1
1940 06 06 12.0 13.50  3079.50000  3079.56250  4.333   32 1
1940 06 06 15.0 16.50  3079.62500  3079.68750  3.667   22 1
1940 06 06 18.0 19.50  3079.75000  3079.81250  3.667   22 1
1940 06 06 21.0 22.50  3079.87500  3079.93750  4.333   32 1
1940 06 07 00.0 01.50  3080.00000  3080.06250  5.000   48 1
1940 06 07 03.0 04.50  3080.12500  3080.18750  5.333   56 1
1940 06 07 06.0 07.50  3080.25000  3080.31250  4.000   27 1
1940 06 07 09.0 10.50  3080.37500  3080.43750  4.333   32 1
1940 06 07 12.0 13.50  3080.50000  3080.56250  4.000   27 1
1940 06 07 15.0 16.50  3080.62500  3080.68750  2.667   12 1
1940 06 07 18.0 19.50  3080.75000  3080.81250  3.333   18 1
1940 06 07 21.0 22.50  3080.87500  3080.93750  4.667   39 1
1940 06 08 00.0 01.50  3081.00000  3081.06250  4.333   32 1
1940 06 08 03.0 04.50  3081.12500  3081.18750  3.000   15 1
1940 06 08 06.0 07.50  3081.25000  3081.31250  3.000   15 1
1940 06 08 09.0 10.50  3081.37500  3081.43750  2.667   12 1
1940 06 08 12.0 13.50  3081.50000  3081.56250  2.667   12 1
1940 06 08 15.0 16.50  3081.62500  3081.68750  3.000   15 1
1940 06 08 18.0 19.50  3081.75000  3081.81250  4.333   32 1
1940 06 08 21.0 22.50  3081.87500  3081.93750  3.667   22 1
1940 06 09 00.0 01.50  3082.00000  3082.06250  1.667    6 1
1940 06 09 03.0 04.50  3082.12500  3082.18750  3.000   15 1
1940 06 09 06.0 07.50  3082.25000  3082.31250  3.333   18 1
1940 06 09 09.0 10.50  3082.37500  3082.43750  3.667   22 1
1940 06 09 12.0 13.50  3082.50000  3082.56250  2.000    7 1
1940 06 09 15.0 16.50  3082.62500  3082.68750  3.000   15 1
1940 06 09 18.0 19.50  3082.75000  3082.81250  3.667   22 1
1940 06 09 21.0 22.50  3082.87500  3082.93750  3.000   15 1
1940 06 10 00.0 01.50  3083.00000  3083.06250  3.000   15 1
1940 06 10 03.0 04.50  3083.12500  3083.18750  1.667    6 1
1940 06 10 06.0 07.50  3083.25000  3083.31250  2.667   12 1
1940 06 10 09.0 10.50  3083.37500  3083.43750  0.667    3 1
1940 06 10 12.0 13.50  3083.50000  3083.56250  0.667    3 1
1940 06 10 15.0 16.50  3083.62500  3083.68750  0.000    0 1
1940 06 10 18.0 19.50  3083.75000  3083.81250  0.667    3 1
1940 06 10 21.0 22.50  3083.87500  3083.93750  1.667    6 1
1940 06 11 00.0 01.50  3084.00000  3084.06250  1.667    6 1
1940 06 11 03.0 04.50  3084.12500  3084.18750  0.333    2 1
1940 06 11 06.0 07.50  3084.25000  3084.31250  0.667    3 1
1940 06 11 09.0 10.50  3084.37500  3084.43750  1.000    4 1
1940 06 11 12.0 13.50  3084.50000  3084.56250  1.000    4 1
1940 06 11 15.0 16.50  3084.62500  3084.68750  1.333    5 1
1940 06 11 18.0 19.50  3084.75000  3084.81250  0.333    2 1
1940 06 11 21.0 22.50  3084.87500  3084.93750  1.667    6 1
1940 06 12 00.0 01.50  3085.00000  3085.06250  1.000    4 1
1940 06 12 03.0 04.50  3085.12500  3085.18750  0.333    2 1
1940 06 12 06.0 07.50  3085.25000  3085.31250  0.333    2 1
1940 06 12 09.0 10.50  3085.37500  3085.43750  0.667    3 1
1940 06 12 12.0 13.50  3085.50000  3085.56250  1.667    6 1
1940 06 12 15.0 16.50  3085.62500  3085.68750  1.333    5 1
1940 06 12 18.0 19.50  3085.75000  3085.81250  2.000    7 1
1940 06 12 21.0 22.50  3085.87500  3085.93750  1.667    6 1
1940 06 13 00.0 01.50  3086.00000  3086.06250  0.333    2 1
1940 06 13 03.0 04.50  3086.12500  3086.18750  0.333    2 1
1940 06 13 06.0 07.50  3086.25000  3086.31250  0.333    2 1
1940 06 13 09.0 10.50  3086.37500  3086.43750  0.333    2 1
1940 06 13 12.0 13.50  3086.50000  3086.56250  0.667    3 1
1940 06 13 15.0 16.50  3086.62500  3086.68750  1.000    4 1
1940 06 13 18.0 19.50  3086.75000  3086.81250  1.333    5 1
1940 06 13 21.0 22.50  3086.87500  3086.93750  2.333    9 1
1940 06 14 00.0 01.50  3087.00000  3087.06250  1.000    4 1
1940 06 14 03.0 04.50  3087.12500  3087.18750  2.333    9 1
1940 06 14 06.0 07.50  3087.25000  3087.31250  3.333   18 1
1940 06 14 09.0 10.50  3087.37500  3087.43750  2.667   12 1
1940 06 14 12.0 13.50  3087.50000  3087.56250  4.667   39 1
1940 06 14 15.0 16.50  3087.62500  3087.68750  6.000   80 1
1940 06 14 18.0 19.50  3087.75000  3087.81250  5.667   67 1
1940 06 14 21.0 22.50  3087.87500  3087.93750  6.333   94 1
1940 06 15 00.0 01.50  3088.00000  3088.06250  4.667   39 1
1940 06 15 03.0 04.50  3088.12500  3088.18750  5.000   48 1
1940 06 15 06.0 07.50  3088.25000  3088.31250  4.333   32 1
1940 06 15 09.0 10.50  3088.37500  3088.43750  4.000   27 1
1940 06 15 12.0 13.50  3088.50000  3088.56250  3.667   22 1
1940 06 15 15.0 16.50  3088.62500  3088.68750  3.667   22 1
1940 06 15 18.0 19.50  3088.75000  3088.81250  2.667   12 1
1940 06 15 21.0 22.50  3088.87500  3088.93750  1.333    5 1
1940 06 16 00.0 01.50  3089.00000  3089.06250  3.667   22 1
1940 06 16 03.0 04.50  3089.12500  3089.18750  2.333    9 1
1940 06 16 06.0 07.50  3089.25000  3089.31250  3.667   22 1
1940 06 16 09.0 10.50  3089.37500  3089.43750  3.000   15 1
1940 06 16 12.0 13.50  3089.50000  3089.56250  2.000    7 1
1940 06 16 15.0 16.50  3089.62500  3089.68750  1.667    6 1
1940 06 16 18.0 19.50  3089.75000  3089.81250  3.000   15 1
1940 06 16 21.0 22.50  3089.87500  3089.93750  2.667   12 1
1940 06 17 00.0 01.50  3090.00000  3090.06250  3.000   15 1
1940 06 17 03.0 04.50  3090.12500  3090.18750  3.333   18 1
1940 06 17 06.0 07.50  3090.25000  3090.31250  3.333   18 1
1940 06 17 09.0 10.50  3090.37500  3090.43750  3.000   15 1
1940 06 17 12.0 13.50  3090.50000  3090.56250  3.000   15 1
1940 06 17 15.0 16.50  3090.62500  3090.68750  3.333   18 1
1940 06 17 18.0 19.50  3090.75000  3090.81250  2.667   12 1
1940 06 17 21.0 22.50  3090.87500  3090.93750  2.000    7 1
1940 06 18 00.0 01.50  3091.00000  3091.06250  2.000    7 1
1940 06 18 03.0 04.50  3091.12500  3091.18750  4.000   27 1
1940 06 18 06.0 07.50  3091.25000  3091.31250  5.000   48 1
1940 06 18 09.0 10.50  3091.37500  3091.43750  3.333   18 1
1940 06 18 12.0 13.50  3091.50000  3091.56250  2.000    7 1
1940 06 18 15.0 16.50  3091.62500  3091.68750  1.333    5 1
1940 06 18 18.0 19.50  3091.75000  3091.81250  2.333    9 1
1940 06 18 21.0 22.50  3091.87500  3091.93750  1.667    6 1
1940 06 19 00.0 01.50  3092.00000  3092.06250  2.000    7 1
1940 06 19 03.0 04.50  3092.12500  3092.18750  3.000   15 1
1940 06 19 06.0 07.50  3092.25000  3092.31250  3.000   15 1
1940 06 19 09.0 10.50  3092.37500  3092.43750  2.333    9 1
1940 06 19 12.0 13.50  3092.50000  3092.56250  3.333   18 1
1940 06 19 15.0 16.50  3092.62500  3092.68750  3.000   15 1
1940 06 19 18.0 19.50  3092.75000  3092.81250  1.333    5 1
1940 06 19 21.0 22.50  3092.87500  3092.93750  1.667    6 1
1940 06 20 00.0 01.50  3093.00000  3093.06250  1.000    4 1
1940 06 20 03.0 04.50  3093.12500  3093.18750  1.333    5 1
1940 06 20 06.0 07.50  3093.25000  3093.31250  0.667    3 1
1940 06 20 09.0 10.50  3093.37500  3093.43750  0.667    3 1
1940 06 20 12.0 13.50  3093.50000  3093.56250  1.000    4 1
1940 06 20 15.0 16.50  3093.62500  3093.68750  1.000    4 1
1940 06 20 18.0 19.50  3093.75000  3093.81250  1.000    4 1
1940 06 20 21.0 22.50  3093.87500  3093.93750  0.667    3 1
1940 06 21 00.0 01.50  3094.00000  3094.06250  1.333    5 1
1940 06 21 03.0 04.50  3094.12500  3094.18750  2.000    7 1
1940 06 21 06.0 07.50  3094.25000  3094.31250  1.333    5 1
1940 06 21 09.0 10.50  3094.37500  3094.43750  1.000    4 1
1940 06 21 12.0 13.50  3094.50000  3094.56250  1.000    4 1
1940 06 21 15.0 16.50  3094.62500  3094.68750  0.333    2 1
1940 06 21 18.0 19.50  3094.75000  3094.81250  0.667    3 1
1940 06 21 21.0 22.50  3094.87500  3094.93750  0.333    2 1
1940 06 22 00.0 01.50  3095.00000  3095.06250  0.333    2 1
1940 06 22 03.0 04.50  3095.12500  3095.18750  1.000    4 1
1940 06 22 06.0 07.50  3095.25000  3095.31250  0.333    2 1
1940 06 22 09.0 10.50  3095.37500  3095.43750  3.333   18 1
1940 06 22 12.0 13.50  3095.50000  3095.56250  3.333   18 1
1940 06 22 15.0 16.50  3095.62500  3095.68750  2.000    7 1
1940 06 22 18.0 19.50  3095.75000  3095.81250  1.333    5 1
1940 06 22 21.0 22.50  3095.87500  3095.93750  2.333    9 1
1940 06 23 00.0 01.50  3096.00000  3096.06250  3.667   22 1
1940 06 23 03.0 04.50  3096.12500  3096.18750  1.667    6 1
1940 06 23 06.0 07.50  3096.25000  3096.31250  1.000    4 1
1940 06 23 09.0 10.50  3096.37500  3096.43750  1.000    4 1
1940 06 23 12.0 13.50  3096.50000  3096.56250  1.000    4 1
1940 06 23 15.0 16.50  3096.62500  3096.68750  1.000    4 1
1940 06 23 18.0 19.50  3096.75000  3096.81250  2.000    7 1
1940 06 23 21.0 22.50  3096.87500  3096.93750  2.000    7 1
1940 06 24 00.0 01.50  3097.00000  3097.06250  3.333   18 1
1940 06 24 03.0 04.50  3097.12500  3097.18750  3.333   18 1
1940 06 24 06.0 07.50  3097.25000  3097.31250  3.333   18 1
1940 06 24 09.0 10.50  3097.37500  3097.43750  2.000    7 1
1940 06 24 12.0 13.50  3097.50000  3097.56250  3.000   15 1
1940 06 24 15.0 16.50  3097.62500  3097.68750  2.333    9 1
1940 06 24 18.0 19.50  3097.75000  3097.81250  3.667   22 1
1940 06 24 21.0 22.50  3097.87500  3097.93750  3.667   22 1
1940 06 25 00.0 01.50  3098.00000  3098.06250  4.667   39 1
1940 06 25 03.0 04.50  3098.12500  3098.18750  7.000  132 1
1940 06 25 06.0 07.50  3098.25000  3098.31250  5.333   56 1
1940 06 25 09.0 10.50  3098.37500  3098.43750  7.333  154 1
1940 06 25 12.0 13.50  3098.50000  3098.56250  8.333  236 1
1940 06 25 15.0 16.50  3098.62500  3098.68750  7.667  179 1
1940 06 25 18.0 19.50  3098.75000  3098.81250  7.333  154 1
1940 06 25 21.0 22.50  3098.87500  3098.93750  5.333   56 1
1940 06 26 00.0 01.50  3099.00000  3099.06250  4.667   39 1
1940 06 26 03.0 04.50  3099.12500  3099.18750  3.333   18 1
1940 06 26 06.0 07.50  3099.25000  3099.31250  2.333    9 1
1940 06 26 09.0 10.50  3099.37500  3099.43750  2.333    9 1
