# PURPOSE: This file distributes the Kp index and ap index (one line per three-hour interval)
# LICENSE: CC BY 4.0
# SOURCE: Geomagnetic Observatory Niemegk, GFZ German Research Centre for Geosciences
# PLEASE CITE: Matzka, J., Stolle, C., Yamazaki, Y., Bronkalla, O. and Morschhauser, A., 2021. The geomagnetic Kp index 
# and derived indices of geomagnetic activity. Space Weather, https://doi.org/10.1029/2020SW002641
#
# Kp, ap and Ap
# The three-hourly equivalent planetary amplitude ap is derived from Kp and the daily equivalent planetary amplitude Ap is the daily mean of ap.
# Kp is unitless. Ap and ap are unitless and can be multiplied by 2 nT to yield the average geomagnetic disturbance at 50 degree geomagnetic latitude.
# Kp, ap and Ap were introduced by Bartels (1949, 1957) and are produced by Geomagnetic Observatory Niemegk, GFZ German Research Centre for Geosciences.
# Described in: Matzka et al. (2021), see reference above.
# Data publication: Matzka, J., Bronkalla, O., Tornow, K., Elger, K. and Stolle, C., 2021. Geomagnetic Kp index. V. 1.0. GFZ Data Services, 
# https://doi.org/10.5880/Kp.0001
#
# Short file description (for a detailed file description, see Kp_ap_Ap_SN_F107_format.txt):
# 30 header lines, all starting with #
# ASCII, blank separated and fixed length, missing data indicated by -1.000 for Kp and -1 for ap
# YYYY MM DD is date of UT day, hh.h is starting time in hours of interval for which Kp and ap are given
# hh._m is mid time in hours of interval for which Kp and ap are given 
# days is days since 1932-01-01 00:00 UT to start of interval, days_m is days since 1932-01-01 00:00 UT to mid of interval
# Kp, ap
# D indicates if the Kp and ap values are definitive (D = 1) or preliminary (D=0)
#
#
#
#
# The format for each line is (i stands for integer, f for float):
#iii ii ii ff.f ff.ff fffff.fffff fffff.fffff ff.fff iiii i
# The parameters in each line are:
#YYY MM DD hh.h hh._m        days      days_m     Kp   ap D
1940 01 22 12.0 13.50  2943.50000  2943.56250  1.000    4 1
1940 01 22 15.0 16.50  2943.62500  2943.68750  3.333   18 1
1940 01 22 18.0 19.50  2943.75000  2943.81250  3.000   15 1
1940 01 22 21.0 22.50  2943.87500  2943.93750  1.333    5 1
1940 01 23 00.0 01.50  2944.00000  2944.06250  0.333    2 1
1940 01 23 03.0 04.50  2944.12500  2944.18750  0.333    2 1
1940 01 23 06.0 07.50  2944.25000  2944.31250  2.000    7 1
1940 01 23 09.0 10.50  2944.37500  2944.43750  2.333    9 1
1940 01 23 12.0 13.50  2944.50000  2944.56250  2.000    7 1
1940 01 23 15.0 16.50  2944.62500  2944.68750  1.000    4 1
1940 01 23 18.0 19.50  2944.75000  2944.81250  2.333    9 1
1940 01 23 21.0 22.50  2944.87500  2944.93750  2.333    9 1
1940 01 24 00.0 01.50  2945.00000  2945.06250  2.667   12 1
1940 01 24 03.0 04.50  2945.12500  2945.18750  3.333   18 1
1940 01 24 06.0 07.50  2945.25000  2945.31250  2.333    9 1
1940 01 24 09.0 10.50  2945.37500  2945.43750  2.333    9 1
1940 01 24 12.0 13.50  2945.50000  2945.56250  2.667   12 1
1940 01 24 15.0 16.50  2945.62500  2945.68750  3.000   15 1
1940 01 24 18.0 19.50  2945.75000  2945.81250  4.000   27 1
1940 01 24 21.0 22.50  2945.87500  2945.93750  3.000   15 1
1940 01 25 00.0 01.50  2946.00000  2946.06250  3.333   18 1
1940 01 25 03.0 04.50  2946.12500  2946.18750  3.667   22 1
1940 01 25 06.0 07.50  2946.25000  2946.31250  3.333   18 1
1940 01 25 09.0 10.50  2946.37500  2946.43750  1.667    6 1
1940 01 25 12.0 13.50  2946.50000  2946.56250  4.000   27 1
1940 01 25 15.0 16.50  2946.62500  2946.68750  2.667   12 1
1940 01 25 18.0 19.50  2946.75000  2946.81250  1.333    5 1
1940 01 25 21.0 22.50  2946.87500  2946.93750  2.000    7 1
1940 01 26 00.0 01.50  2947.00000  2947.06250  0.333    2 1
1940 01 26 03.0 04.50  2947.12500  2947.18750  0.000    0 1
1940 01 26 06.0 07.50  2947.25000  2947.31250  0.000    0 1
1940 01 26 09.0 10.50  2947.37500  2947.43750  0.333    2 1
1940 01 26 12.0 13.50  2947.50000  2947.56250  0.333    2 1
1940 01 26 15.0 16.50  2947.62500  2947.68750  0.667    3 1
1940 01 26 18.0 19.50  2947.75000  2947.81250  1.333    5 1
1940 01 26 21.0 22.50  2947.87500  2947.93750  1.667    6 1
1940 01 27 00.0 01.50  2948.00000  2948.06250  1.667    6 1
1940 01 27 03.0 04.50  2948.12500  2948.18750  2.333    9 1
1940 01 27 06.0 07.50  2948.25000  2948.31250  2.667   12 1
1940 01 27 09.0 10.50  2948.37500  2948.43750  0.667    3 1
1940 01 27 12.0 13.50  2948.50000  2948.56250  0.667    3 1
1940 01 27 15.0 16.50  2948.62500  2948.68750  1.000    4 1
1940 01 27 18.0 19.50  2948.75000  2948.81250  0.667    3 1
1940 01 27 21.0 22.50  2948.87500  2948.93750  1.000    4 1
1940 01 28 00.0 01.50  2949.00000  2949.06250  1.333    5 1
1940 01 28 03.0 04.50  2949.12500  2949.18750  0.333    2 1
1940 01 28 06.0 07.50  2949.25000  2949.31250  0.667    3 1
1940 01 28 09.0 10.50  2949.37500  2949.43750  0.000    0 1
1940 01 28 12.0 13.50  2949.50000  2949.56250  0.000    0 1
1940 01 28 15.0 16.50  2949.62500  2949.68750  0.333    2 1
1940 01 28 18.0 19.50  2949.75000  2949.81250  0.667    3 1
1940 01 28 21.0 22.50  2949.87500  2949.93750  1.333    5 1
1940 01 29 00.0 01.50  2950.00000  2950.06250  1.333    5 1
1940 01 29 03.0 04.50  2950.12500  2950.18750  1.000    4 1
1940 01 29 06.0 07.50  2950.25000  2950.31250  0.667    3 1
1940 01 29 09.0 10.50  2950.37500  2950.43750  1.000    4 1
1940 01 29 12.0 13.50  2950.50000  2950.56250  2.667   12 1
1940 01 29 15.0 16.50  2950.62500  2950.68750  3.667   22 1
1940 01 29 18.0 19.50  2950.75000  2950.81250  3.333   18 1
1940 01 29 21.0 22.50  2950.87500  2950.93750  2.667   12 1
1940 01 30 00.0 01.50  2951.00000  2951.06250  3.667   22 1
1940 01 30 03.0 04.50  2951.12500  2951.18750  3.667   22 1
1940 01 30 06.0 07.50  2951.25000  2951.31250  3.000   15 1
1940 01 30 09.0 10.50  2951.37500  2951.43750  3.667   22 1
1940 01 30 12.0 13.50  2951.50000  2951.56250  3.000   15 1
1940 01 30 15.0 16.50  2951.62500  2951.68750  3.333   18 1
1940 01 30 18.0 19.50  2951.75000  2951.81250  3.333   18 1
1940 01 30 21.0 22.50  2951.87500  2951.93750  3.000   15 1
1940 01 31 00.0 01.50  2952.00000  2952.06250  3.000   15 1
1940 01 31 03.0 04.50  2952.12500  2952.18750  3.333   18 1
1940 01 31 06.0 07.50  2952.25000  2952.31250  3.667   22 1
1940 01 31 09.0 10.50  2952.37500  2952.43750  3.333   18 1
1940 01 31 12.0 13.50  2952.50000  2952.56250  4.667   39 1
1940 01 31 15.0 16.50  2952.62500  2952.68750  4.333   32 1
1940 01 31 18.0 19.50  2952.75000  2952.81250  5.000   48 1
1940 01 31 21.0 22.50  2952.87500  2952.93750  4.667   39 1
1940 02 01 00.0 01.50  2953.00000  2953.06250  4.667   39 1
1940 02 01 03.0 04.50  2953.12500  2953.18750  4.000   27 1
1940 02 01 06.0 07.50  2953.25000  2953.31250  4.667   39 1
1940 02 01 09.0 10.50  2953.37500  2953.43750  4.333   32 1
1940 02 01 12.0 13.50  2953.50000  2953.56250  4.667   39 1
1940 02 01 15.0 16.50  2953.62500  2953.68750  5.000   48 1
1940 02 01 18.0 19.50  2953.75000  2953.81250  5.000   48 1
1940 02 01 21.0 22.50  2953.87500  2953.93750  4.667   39 1
1940 02 02 00.0 01.50  2954.00000  2954.06250  4.000   27 1
1940 02 02 03.0 04.50  2954.12500  2954.18750  3.000   15 1
1940 02 02 06.0 07.50  2954.25000  2954.31250  4.000   27 1
1940 02 02 09.0 10.50  2954.37500  2954.43750  3.000   15 1
1940 02 02 12.0 13.50  2954.50000  2954.56250  3.000   15 1
1940 02 02 15.0 16.50  2954.62500  2954.68750  3.000   15 1
1940 02 02 18.0 19.50  2954.75000  2954.81250  3.333   18 1
1940 02 02 21.0 22.50  2954.87500  2954.93750  2.667   12 1
1940 02 03 00.0 01.50  2955.00000  2955.06250  3.000   15 1
1940 02 03 03.0 04.50  2955.12500  2955.18750  1.333    5 1
1940 02 03 06.0 07.50  2955.25000  2955.31250  2.333    9 1
1940 02 03 09.0 10.50  2955.37500  2955.43750  2.667   12 1
1940 02 03 12.0 13.50  2955.50000  2955.56250  3.333   18 1
1940 02 03 15.0 16.50  2955.62500  2955.68750  4.333   32 1
1940 02 03 18.0 19.50  2955.75000  2955.81250  3.333   18 1
1940 02 03 21.0 22.50  2955.87500  2955.93750  3.667   22 1
1940 02 04 00.0 01.50  2956.00000  2956.06250  0.667    3 1
1940 02 04 03.0 04.50  2956.12500  2956.18750  1.000    4 1
1940 02 04 06.0 07.50  2956.25000  2956.31250  1.000    4 1
1940 02 04 09.0 10.50  2956.37500  2956.43750  0.667    3 1
1940 02 04 12.0 13.50  2956.50000  2956.56250  0.667    3 1
1940 02 04 15.0 16.50  2956.62500  2956.68750  4.000   27 1
1940 02 04 18.0 19.50  2956.75000  2956.81250  2.333    9 1
1940 02 04 21.0 22.50  2956.87500  2956.93750  2.667   12 1
1940 02 05 00.0 01.50  2957.00000  2957.06250  2.667   12 1
1940 02 05 03.0 04.50  2957.12500  2957.18750  1.000    4 1
1940 02 05 06.0 07.50  2957.25000  2957.31250  1.333    5 1
1940 02 05 09.0 10.50  2957.37500  2957.43750  2.333    9 1
1940 02 05 12.0 13.50  2957.50000  2957.56250  3.333   18 1
1940 02 05 15.0 16.50  2957.62500  2957.68750  3.000   15 1
1940 02 05 18.0 19.50  2957.75000  2957.81250  1.667    6 1
1940 02 05 21.0 22.50  2957.87500  2957.93750  3.333   18 1
1940 02 06 00.0 01.50  2958.00000  2958.06250  3.000   15 1
1940 02 06 03.0 04.50  2958.12500  2958.18750  1.667    6 1
1940 02 06 06.0 07.50  2958.25000  2958.31250  2.333    9 1
1940 02 06 09.0 10.50  2958.37500  2958.43750  2.667   12 1
1940 02 06 12.0 13.50  2958.50000  2958.56250  3.000   15 1
1940 02 06 15.0 16.50  2958.62500  2958.68750  2.000    7 1
1940 02 06 18.0 19.50  2958.75000  2958.81250  3.667   22 1
1940 02 06 21.0 22.50  2958.87500  2958.93750  3.667   22 1
1940 02 07 00.0 01.50  2959.00000  2959.06250  4.333   32 1
1940 02 07 03.0 04.50  2959.12500  2959.18750  2.333    9 1
